POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
365623-1,Threat,Hydnocarpus hainanensis (Merr.) Sleumer,3878156,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus hainanensis,Sleumer (Merr.),ACCEPTED,3878156,;,1,2,2137.27751,4,48,3034,12.99829917
365635-1,Threat,Hydnocarpus pentandrus (Buch.-Ham.) Oken,3877971,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus pentandrus,Oken (Buch.-Ham.),ACCEPTED,3877971,;,1,1,0,1,1,5801,17.27146844
365638-1,NonThreat,Hydnocarpus polypetalus (Slooten) Sleumer,3877944,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus polypetalus,Sleumer (Slooten),ACCEPTED,3877944,;,1,3,307707.0055,16,28,160553,5.887828653
365664-1,NonThreat,Lindackeria bukobensis Gilg,3879739,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria bukobensis,Gilg,ACCEPTED,3879739,;,10,6,740636.1586,109,300,44283.42485,6.223581973
365667-1,Threat,Lindackeria cuneatoacuminata (De Wild.) Gilg,7822634,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria cuneatoacuminata,Gilg,ACCEPTED,7822634,;,1,1,3415.120907,11,25,127181,5.540234197
365668-1,NonThreat,Lindackeria dentata (Oliv.) Gilg,3879713,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria dentata,Gilg,ACCEPTED,3879713,;,15,19,4321820.843,172,439,53966.78306,6.188501926
365669-1,NonThreat,Lindackeria fragrans (Gilg) Gilg,3879706,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria fragrans,Gilg,ACCEPTED,3879706,;,2,4,7840.221538,6,10,31799.00621,6.408865461
365674-1,NonThreat,Lindackeria ngounyensis Pellegr.,3879647,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria ngounyensis,Pellegr.,ACCEPTED,3879647,;,1,2,7001.250939,15,47,3973,2.850581908
365679-1,NonThreat,Lindackeria poggei (Gürke) Gilg,3879582,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria poggei,Gilg,ACCEPTED,3879582,;,5,5,364911.2144,13,18,71055.54298,5.025398447
365680-1,NonThreat,Lindackeria schweinfurthii Gilg,3879574,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria schweinfurthii,Gilg,ACCEPTED,3879574,;,5,6,1317375.53,20,52,53033.93025,6.086076193
365682-1,Threat,Lindackeria stipulata (Oliv.) Milne-Redh. & Sleumer,3879559,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria stipulata,Milne-Redh. & Sleumer (Oliv.),ACCEPTED,3879559,;,1,2,3663.444476,6,9,36279,7.040111591
365824-1,Threat,Peterodendron ovatum (Sleumer) Sleumer,3878908,Plantae,Tracheophyta,Malpighiales,Achariaceae,Peterodendron,Peterodendron ovatum,Sleumer (Sleumer),ACCEPTED,3878908,;,1,2,37901.48225,18,23,36279,7.040111591
366153-1,NonThreat,Xylotheca tettensis (Klotzsch) Gilg,7342749,Plantae,Tracheophyta,Malpighiales,Achariaceae,Xylotheca,Xylotheca tettensis,Gilg,ACCEPTED,7342749,;,3,8,750956.6461,78,138,35638.64417,6.957692329
47692-2,Threat,Carpotroche crispidentata Ducke,3878070,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche crispidentata,Ducke,ACCEPTED,3878070,;,3,5,246557.492,30,86,205356.0374,2.250801899
47696-2,NonThreat,Carpotroche integrifolia Kuhlm.,3878013,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche integrifolia,Kuhlm.,ACCEPTED,3878013,;,2,4,113663.0965,5,10,204530.981,2.534027309
47701-2,NonThreat,Carpotroche pacifica (Cuatrec.) Cuatrec.,7274060,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche pacifica,Cuatrec. (Cuatrec.),ACCEPTED,7274060,;,1,5,187768.393,22,52,39871,5.262683972
47704-2,NonThreat,Carpotroche platyptera Pittier,3877894,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche platyptera,Pittier,ACCEPTED,3877894,;,7,14,943544.0968,145,464,28159.10884,6.39636057
47705-2,NonThreat,Carpotroche ramosii (Cuatrec.) Cuatrec.,3877874,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche ramosii,Cuatrec.,ACCEPTED,3877874,;,2,2,34327.86293,3,6,34199.32306,5.554532571
47706-2,NonThreat,Carpotroche surinamensis Uittien,3877857,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche surinamensis,Uittien,ACCEPTED,3877857,;,6,4,1024903.689,38,100,175238.403,3.647605117
56878-1,NonThreat,Ceratiosicyos laevis (Thunb.) A.Meeuse,3761014,Plantae,Tracheophyta,Malpighiales,Achariaceae,Ceratiosicyos,Ceratiosicyos laevis,A.Meeuse (Thunb.),ACCEPTED,3761014,;,4,11,454146.5972,57,89,6193.231931,8.352284251
60447728-2,Threat,Kuhlmanniodendron apterocarpum (Kuhlm.) Fiaschi & Groppo,3761016,Plantae,Tracheophyta,Malpighiales,Achariaceae,Kuhlmanniodendron,Kuhlmanniodendron apterocarpum,Fiaschi & Groppo (Kuhlm.),ACCEPTED,3761016,;,1,1,3243.350611,4,9,58771,11.06857841
