"accepted","full_name","base_url","POWO_ID","family"
"TRUE","Andrographis neesiana Wight","/taxon/urn:lsid:ipni.org:names:","45222-1","Acanthaceae"
"TRUE","Andrographis paniculata (Burm.f.) Nees","/taxon/urn:lsid:ipni.org:names:","45226-1","Acanthaceae"
"TRUE","Andrographis producta (C.B.Clarke) Gamble","/taxon/urn:lsid:ipni.org:names:","45227-1","Acanthaceae"
"TRUE","Andrographis rothii C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45229-1","Acanthaceae"
"TRUE","Andrographis rotundifolia (Sreem.) Sreem.","/taxon/urn:lsid:ipni.org:names:","45230-1","Acanthaceae"
"TRUE","Andrographis serpyllifolia (Rottler ex Vahl) Wight","/taxon/urn:lsid:ipni.org:names:","60453387-2","Acanthaceae"
"TRUE","Andrographis stellulata C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45231-1","Acanthaceae"
"TRUE","Andrographis stenophylla C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45232-1","Acanthaceae"
"TRUE","Andrographis subspathulata C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45233-1","Acanthaceae"
"TRUE","Andrographis viscosula Nees","/taxon/urn:lsid:ipni.org:names:","45238-1","Acanthaceae"
"TRUE","Angkalanthus oligophylla Balf.f.","/taxon/urn:lsid:ipni.org:names:","45241-1","Acanthaceae"
"TRUE","Anisacanthus andersonii T.F.Daniel","/taxon/urn:lsid:ipni.org:names:","13929-2","Acanthaceae"
"TRUE","Anisacanthus brasiliensis Lindau","/taxon/urn:lsid:ipni.org:names:","13930-2","Acanthaceae"
"TRUE","Anisacanthus linearis (S.H.Hagen) Henrickson & E.J.Lott","/taxon/urn:lsid:ipni.org:names:","13937-2","Acanthaceae"
"TRUE","Anisacanthus malmei Lindau","/taxon/urn:lsid:ipni.org:names:","13938-2","Acanthaceae"
"TRUE","Anisacanthus nicaraguensis Durkee","/taxon/urn:lsid:ipni.org:names:","319375-2","Acanthaceae"
"TRUE","Anisacanthus pohlii Lindau","/taxon/urn:lsid:ipni.org:names:","13940-2","Acanthaceae"
"TRUE","Anisacanthus puberulus (Torr.) Henrickson & E.J.Lott","/taxon/urn:lsid:ipni.org:names:","909991-1","Acanthaceae"
"TRUE","Anisacanthus pumilus (F.Dietr.) Nees","/taxon/urn:lsid:ipni.org:names:","45254-1","Acanthaceae"
"TRUE","Anisacanthus quadrifidus (Vahl) Nees","/taxon/urn:lsid:ipni.org:names:","13942-2","Acanthaceae"
"TRUE","Anisacanthus ramosissimus (Moric.) V.M.Baum","/taxon/urn:lsid:ipni.org:names:","909992-1","Acanthaceae"
